JOB_TITLE,TICKET_BEARING
Advocacy Engagement Manager,FALSE
Advocacy Operational Process Senior Analyst,FALSE
Advocacy Strategy & Operations Intern,FALSE
"Analyst, Enterprise Analytics",FALSE
Associate Advocacy Systems Manager,FALSE
Business Operations Principal,FALSE
CX Automation Specialist,FALSE
CX Strategy & Improvement Manager,FALSE
CX WEM Specialist,FALSE
Chatbot CX Designer,FALSE
Chatbot Conversation Designer,FALSE
Contingent Worker,FALSE
Customer Advocacy Social Response Associate,TRUE
Customer Advocacy Specialist,TRUE
Customer Change Readiness Operations Specialist,FALSE
Customer Insights Specialist,FALSE
Customer Insights/VoC Manager,FALSE
"Customer Listening & Insights, Social Monitoring",FALSE
Customer Quality Assurance Specialist,FALSE
Customer Service Desk,TRUE
Customer Service Desk Agent,TRUE
Data & Analytics Analyst,FALSE
Designer III,FALSE
Director of Workforce Planning and Quality Assurance,FALSE
"Director, Advocacy Digital Resources",FALSE
"Director, Advocacy Operational Process",FALSE
"Director, Advocacy Strategy & Operations",FALSE
"Director, Advocacy Systems Management",FALSE
"Director, Business Operations",FALSE
"Director, CX Innovation",FALSE
"Director, Chatbot Operations",FALSE
"Director, Customer Advocacy",FALSE
"Director, Customer Insights & Strategic Initiatives",FALSE
"Director, Customer Quality Assurance",FALSE
"Director, Enterprise Support",FALSE
"Director, Incidents & Escalations",FALSE
"Director, Instructional Design",FALSE
"Director, Premier Support",FALSE
"Director, Workforce Management Scheduling & Planning",FALSE
"Director, Workforce Optimization",FALSE
Executive Assistant,FALSE
"Group Manager, Engagement Marketing",FALSE
Head of WFM Specialized Support,FALSE
Instructional Designer,FALSE
KCS Specialist,FALSE
Lead Business Process Analysis Analyst,FALSE
Lead Business Process Analyst,FALSE
Lead CX Strategy & Improvement,FALSE
Lead Continuous Improvement Analyst,FALSE
Lead Customer Experience Specialist,FALSE
Lead Customer Quality Assurance Specialist,FALSE
Lead Developer Support Specialist,TRUE
Lead Instructional Designer,FALSE
Lead Trainer,FALSE
Lead Workforce Management Analyst,FALSE
"Lead, Advocacy Strategy & Operations",FALSE
"Lead, Global Customer Strategy & Analytics",FALSE
Localization Quality Assurance Tester II,FALSE
Managed Services Consultant,FALSE
"Manager, Advocacy",FALSE
"Manager, Advocacy Operational Process",FALSE
"Manager, Chatbot & CX Automation",FALSE
"Manager, Chatbot Operations",FALSE
"Manager, Customer Advocacy",FALSE
"Manager, Customer Change Readiness",FALSE
"Manager, Customer Quality Assurance",FALSE
"Manager, Customer Service Desk",FALSE
"Manager, Global Customer Strategy & Analytics",FALSE
"Manager, Incidents & Escalations",FALSE
"Manager, Initiative Planning",FALSE
"Manager, Instructional Design",FALSE
"Manager, Internal Knowledgebase",FALSE
"Manager, Premier Support",FALSE
"Manager, Training & Reporting",FALSE
"Manager, Training Delivery & Evaluation",FALSE
"Manager, Workforce Management Planning",FALSE
Premier Support Engineer,TRUE
Principal Advocacy Systems Manager,FALSE
Principal Chatbot CX Designer,FALSE
Principal Community Engagement Specialist,FALSE
Principal Customer Change Readiness Manager,FALSE
Principal Developer Advocate,TRUE
Principal Incidents & Escalations Manager,FALSE
Principal Knowledge Manager,FALSE
"Principal Operations Manager, Incident and Escalations",FALSE
Principal Premier Support Engineer,TRUE
Principal Self Service Specialist,FALSE
Principal Technical Support Engineer,TRUE
"Principal, Customer Insights and Engagement Strategy",FALSE
Process Improvement Intern,FALSE
QA Technical Support Specialist,FALSE
"SVP, Global Advocacy - Interim",FALSE
"SVP, Sunco Labs.",FALSE
Self Service Specialist,FALSE
Senior Advocacy Systems Manager,FALSE
"Senior Analyst, Advocacy Strategy & Operations",FALSE
Senior CX Automation Specialist,FALSE
Senior Campaign Marketing Manager,FALSE
Senior Chatbot CX Designer,FALSE
Senior Customer Change Readiness Manager,FALSE
Senior Customer Experience Specialist,FALSE
Senior Customer Insights Specialist,FALSE
Senior Customer Quality Assurance Specialist,FALSE
Senior Data & Analytics Analyst,FALSE
"Senior Director, Advocacy - Technical Customer Support",FALSE
"Senior Director, Business Process Analysis",FALSE
"Senior Director, Continuous Improvement",FALSE
"Senior Director, Customer Advocacy",FALSE
"Senior Director, Customer Change Readiness",FALSE
"Senior Director, Customer Insights & Innovation",FALSE
"Senior Director, Customer Insights & Strategic Initiatives",FALSE
"Senior Director, Forecasting & Planning",FALSE
"Senior Director, Global Customer Strategy & Analytics",FALSE
"Senior Director, Premier Support",FALSE
"Senior Director, Workforce Engagement & Activation",FALSE
"Senior Director, Workforce Planning & Optimization",FALSE
Senior Incidents & Escalations Manager,FALSE
Senior Instructional Designer,FALSE
Senior Learning & Knowledge Specialist,FALSE
"Senior Manager, Advocacy Systems Management",FALSE
"Senior Manager, Business Operations",FALSE
"Senior Manager, Business Systems Analysis",FALSE
"Senior Manager, Customer Advocacy",FALSE
"Senior Manager, Customer Change Readiness",FALSE
"Senior Manager, Customer Insights & Strategic Initiatives",FALSE
"Senior Manager, Customer Lifecycle Marketing",FALSE
"Senior Manager, Data & Analytics",FALSE
"Senior Manager, Developer Support",FALSE
"Senior Manager, Global Customer Strategy & Analytics",FALSE
"Senior Manager, Incidents & Escalations",FALSE
"Senior Manager, Instructional Design",FALSE
"Senior Manager, Premier Support",FALSE
"Senior Manager, Self Service",FALSE
"Senior Manager, Workforce Management Scheduling & Planning",FALSE
Senior Premier Support Engineer,TRUE
Senior Principal Premier Support Engineer,TRUE
Senior Principal Technical Support Engineer,TRUE
Senior Product Manager,FALSE
Senior Self Service Specialist,FALSE
"Senior Specialist, Customer Listening & Insights",FALSE
Senior Technical Support Engineer,TRUE
Senior Technical Support Specialist,TRUE
Senior Trainer,FALSE
Senior Trainer And Operation Specialist,FALSE
"Senior Vice President, Global Customer Advocacy",FALSE
Senior WFM Technical Support Specialist,FALSE
Senior Workforce Management Analyst,FALSE
"Sr. Analyst, Global Customer Strategy and Analytics",FALSE
Sr. Customer Quality Assurance Specialis,FALSE
Technical Support Engineer,TRUE
Technical Support Specialist,TRUE
Technical Support Specialist Engineer,TRUE
Trainer,FALSE
"VP, Customer Experience, Strategy & Innovation",FALSE
"Vice President, Customer Advocacy",FALSE
"Vice President, Customer Care",FALSE
"Vice President, Customer Operations",FALSE
"Vice President, Customer Service & Technical Support",FALSE
"Vice President, Enterprise Support",FALSE
Voice of the Customer Intern,FALSE
WFM Technical Support Specialist,FALSE
Workforce Management  Scheduling Analyst,FALSE
Workforce Management Scheduling Analyst,FALSE
Zendesk Customer Experience Architect,FALSE
